vox;algo;r1;ph;wf;ntf;snr;param;evalue;tvalue
5;LQ;1;90;0;0;5;t1est;0.926562;1.000000
5;LQ;1;90;0;0;5;m0est;0.998327;1.000000
5;LQ;1;90;0;0;5;bbya;2.026726;2.000000
6;LQ;1;90;0;0;5;t1est;0.874700;1.000000
6;LQ;1;90;0;0;5;m0est;1.059017;1.000000
6;LQ;1;90;0;0;5;bbya;1.778654;2.000000
7;LQ;1;90;0;0;5;t1est;0.934521;1.000000
7;LQ;1;90;0;0;5;m0est;1.001919;1.000000
7;LQ;1;90;0;0;5;bbya;2.082511;2.000000
8;LQ;1;90;0;0;5;t1est;1.008762;1.000000
8;LQ;1;90;0;0;5;m0est;1.011076;1.000000
8;LQ;1;90;0;0;5;bbya;2.068577;2.000000
9;LQ;1;90;0;0;5;t1est;0.960381;1.000000
9;LQ;1;90;0;0;5;m0est;0.978608;1.000000
9;LQ;1;90;0;0;5;bbya;2.129763;2.000000
10;LQ;1;90;0;0;5;t1est;0.981376;1.000000
10;LQ;1;90;0;0;5;m0est;1.029086;1.000000
10;LQ;1;90;0;0;5;bbya;1.965237;2.000000
1;LQ;1.5;90;0;0;5;t1est;1.391658;1.500000
1;LQ;1.5;90;0;0;5;m0est;1.062982;1.000000
1;LQ;1.5;90;0;0;5;bbya;1.893746;2.000000
2;LQ;1.5;90;0;0;5;t1est;1.568393;1.500000
2;LQ;1.5;90;0;0;5;m0est;1.012910;1.000000
2;LQ;1.5;90;0;0;5;bbya;2.202324;2.000000
3;LQ;1.5;90;0;0;5;t1est;1.572417;1.500000
3;LQ;1.5;90;0;0;5;m0est;1.000402;1.000000
3;LQ;1.5;90;0;0;5;bbya;2.045383;2.000000
4;LQ;1.5;90;0;0;5;t1est;1.261937;1.500000
4;LQ;1.5;90;0;0;5;m0est;0.994895;1.000000
4;LQ;1.5;90;0;0;5;bbya;2.063783;2.000000
5;LQ;1.5;90;0;0;5;t1est;1.565387;1.500000
5;LQ;1.5;90;0;0;5;m0est;1.025945;1.000000
5;LQ;1.5;90;0;0;5;bbya;2.108534;2.000000
6;LQ;1.5;90;0;0;5;t1est;1.422516;1.500000
6;LQ;1.5;90;0;0;5;m0est;1.025876;1.000000
6;LQ;1.5;90;0;0;5;bbya;1.920943;2.000000
7;LQ;1.5;90;0;0;5;t1est;1.398123;1.500000
7;LQ;1.5;90;0;0;5;m0est;0.986993;1.000000
7;LQ;1.5;90;0;0;5;bbya;2.088504;2.000000
8;LQ;1.5;90;0;0;5;t1est;1.611727;1.500000
8;LQ;1.5;90;0;0;5;m0est;0.978359;1.000000
8;LQ;1.5;90;0;0;5;bbya;2.312289;2.000000
9;LQ;1.5;90;0;0;5;t1est;1.526684;1.500000
9;LQ;1.5;90;0;0;5;m0est;0.991843;1.000000
9;LQ;1.5;90;0;0;5;bbya;2.177464;2.000000
10;LQ;1.5;90;0;0;5;t1est;1.604263;1.500000
10;LQ;1.5;90;0;0;5;m0est;0.973339;1.000000
10;LQ;1.5;90;0;0;5;bbya;2.234939;2.000000
1;LQ;2;90;0;0;5;t1est;1.868617;2.000000
1;LQ;2;90;0;0;5;m0est;0.907984;1.000000
1;LQ;2;90;0;0;5;bbya;2.331881;2.000000
2;LQ;2;90;0;0;5;t1est;1.740617;2.000000
2;LQ;2;90;0;0;5;m0est;0.979716;1.000000
2;LQ;2;90;0;0;5;bbya;2.035848;2.000000
3;LQ;2;90;0;0;5;t1est;1.772578;2.000000
3;LQ;2;90;0;0;5;m0est;0.974522;1.000000
3;LQ;2;90;0;0;5;bbya;2.015777;2.000000
4;LQ;2;90;0;0;5;t1est;2.156652;2.000000
4;LQ;2;90;0;0;5;m0est;0.995444;1.000000
4;LQ;2;90;0;0;5;bbya;2.116547;2.000000
5;LQ;2;90;0;0;5;t1est;1.934352;2.000000
5;LQ;2;90;0;0;5;m0est;1.000792;1.000000
5;LQ;2;90;0;0;5;bbya;1.949563;2.000000
6;LQ;2;90;0;0;5;t1est;2.194813;2.000000
6;LQ;2;90;0;0;5;m0est;0.965390;1.000000
6;LQ;2;90;0;0;5;bbya;2.279202;2.000000
7;LQ;2;90;0;0;5;t1est;2.041497;2.000000
