vox;algo;r2;foffset;ph;wf;ntf;snr;param;evalue;tvalue
9;LG;0.02;0;135;0;0;30;m0est;0.283319;1.000000
10;LG;0.02;0;135;0;0;30;t2sest;0.033431;0.020000
10;LG;0.02;0;135;0;0;30;m0est;0.527946;1.000000
1;LG;0.04;0;135;0;0;30;t2sest;0.048408;0.040000
1;LG;0.04;0;135;0;0;30;m0est;0.783332;1.000000
2;LG;0.04;0;135;0;0;30;t2sest;0.044066;0.040000
2;LG;0.04;0;135;0;0;30;m0est;0.933172;1.000000
3;LG;0.04;0;135;0;0;30;t2sest;0.052357;0.040000
3;LG;0.04;0;135;0;0;30;m0est;0.761195;1.000000
4;LG;0.04;0;135;0;0;30;t2sest;0.046324;0.040000
4;LG;0.04;0;135;0;0;30;m0est;0.837035;1.000000
5;LG;0.04;0;135;0;0;30;t2sest;0.044176;0.040000
5;LG;0.04;0;135;0;0;30;m0est;0.931283;1.000000
6;LG;0.04;0;135;0;0;30;t2sest;0.044989;0.040000
6;LG;0.04;0;135;0;0;30;m0est;0.962737;1.000000
7;LG;0.04;0;135;0;0;30;t2sest;0.050939;0.040000
7;LG;0.04;0;135;0;0;30;m0est;0.812872;1.000000
8;LG;0.04;0;135;0;0;30;t2sest;0.045234;0.040000
8;LG;0.04;0;135;0;0;30;m0est;0.893284;1.000000
9;LG;0.04;0;135;0;0;30;t2sest;0.035978;0.040000
9;LG;0.04;0;135;0;0;30;m0est;1.135827;1.000000
10;LG;0.04;0;135;0;0;30;t2sest;0.039623;0.040000
10;LG;0.04;0;135;0;0;30;m0est;1.015947;1.000000
1;LG;0.06;0;135;0;0;30;t2sest;0.062077;0.060000
1;LG;0.06;0;135;0;0;30;m0est;0.971339;1.000000
2;LG;0.06;0;135;0;0;30;t2sest;0.057661;0.060000
2;LG;0.06;0;135;0;0;30;m0est;1.010489;1.000000
3;LG;0.06;0;135;0;0;30;t2sest;0.058135;0.060000
3;LG;0.06;0;135;0;0;30;m0est;1.043827;1.000000
4;LG;0.06;0;135;0;0;30;t2sest;0.056868;0.060000
4;LG;0.06;0;135;0;0;30;m0est;1.043376;1.000000
5;LG;0.06;0;135;0;0;30;t2sest;0.067263;0.060000
5;LG;0.06;0;135;0;0;30;m0est;0.933998;1.000000
6;LG;0.06;0;135;0;0;30;t2sest;0.070190;0.060000
6;LG;0.06;0;135;0;0;30;m0est;0.912073;1.000000
7;LG;0.06;0;135;0;0;30;t2sest;0.069227;0.060000
7;LG;0.06;0;135;0;0;30;m0est;0.912957;1.000000
8;LG;0.06;0;135;0;0;30;t2sest;0.062355;0.060000
8;LG;0.06;0;135;0;0;30;m0est;1.010593;1.000000
9;LG;0.06;0;135;0;0;30;t2sest;0.053012;0.060000
9;LG;0.06;0;135;0;0;30;m0est;1.164911;1.000000
10;LG;0.06;0;135;0;0;30;t2sest;0.063561;0.060000
10;LG;0.06;0;135;0;0;30;m0est;0.953217;1.000000
1;LG;0.08;0;135;0;0;30;t2sest;0.077775;0.080000
1;LG;0.08;0;135;0;0;30;m0est;1.014998;1.000000
2;LG;0.08;0;135;0;0;30;t2sest;0.080217;0.080000
2;LG;0.08;0;135;0;0;30;m0est;1.015875;1.000000
3;LG;0.08;0;135;0;0;30;t2sest;0.077338;0.080000
3;LG;0.08;0;135;0;0;30;m0est;1.019955;1.000000
4;LG;0.08;0;135;0;0;30;t2sest;0.079191;0.080000
4;LG;0.08;0;135;0;0;30;m0est;1.034568;1.000000
5;LG;0.08;0;135;0;0;30;t2sest;0.074866;0.080000
5;LG;0.08;0;135;0;0;30;m0est;1.023856;1.000000
6;LG;0.08;0;135;0;0;30;t2sest;0.071544;0.080000
6;LG;0.08;0;135;0;0;30;m0est;1.089776;1.000000
7;LG;0.08;0;135;0;0;30;t2sest;0.091409;0.080000
7;LG;0.08;0;135;0;0;30;m0est;0.921128;1.000000
8;LG;0.08;0;135;0;0;30;t2sest;0.085193;0.080000
8;LG;0.08;0;135;0;0;30;m0est;0.967387;1.000000
9;LG;0.08;0;135;0;0;30;t2sest;0.080399;0.080000
9;LG;0.08;0;135;0;0;30;m0est;0.988377;1.000000
10;LG;0.08;0;135;0;0;30;t2sest;0.070521;0.080000
10;LG;0.08;0;135;0;0;30;m0est;1.041380;1.000000
